el_state_1,el_state_2,polinom,coeff
1,1,q3*q1*q4+*q4-,0.281045196
1,1,q3*q6+*q6+*q6+,0.0512062965
1,1,q3*q6+*q6+*q5+,-0.165876738
1,1,q3*q6+*q6+*q4+,0.163954814
1,1,q3*q6+*q5+*q5+,-0.0490967026
1,1,q3*q6+*q5+*q4+,-0.163783682
1,1,q3*q6+*q4+*q4+,-0.311263863
1,1,q3*q5+*q5+*q5+,-0.040244333
1,1,q3*q5+*q5+*q4+,-0.0320309994
1,1,q3*q5+*q4+*q4+,0.112476945
1,1,q3*q4+*q4+*q4+,-0.279977824
1,1,q2*q2*q2*q2,1.05241655
1,1,q2*q2*q2*q1,-0.71910555
1,1,q2*q2*q1*q1,-5.44067352
1,1,q2*q2*q6+*q6-,1.10284492
1,1,q2*q2*q6+*q5-,-0.0582162195
1,1,q2*q2*q6+*q4-,0.332655529
1,1,q2*q2*q5+*q5-,-0.3309592
1,1,q2*q2*q5+*q4-,-0.474141528
1,1,q2*q2*q4+*q4-,-3.23501808
1,1,q2*q1*q1*q1,-0.783064368
1,1,q2*q1*q6+*q6-,0.23262898
1,1,q2*q1*q6+*q5-,0.0272386912
1,1,q2*q1*q6+*q4-,2.67478178
1,1,q2*q1*q5+*q5-,-0.2473284
1,1,q2*q1*q5+*q4-,-1.08779377
1,1,q2*q1*q4+*q4-,0.500558425
1,1,q2*q6+*q6+*q6+,0.408134013
1,1,q2*q6+*q6+*q5+,-0.417760987
1,1,q2*q6+*q6+*q4+,-0.216707052
1,1,q2*q6+*q5+*q5+,-0.0991638226
1,1,q2*q6+*q5+*q4+,-0.212401419
1,1,q2*q6+*q4+*q4+,-1.99755443
1,1,q2*q5+*q5+*q5+,0.0566662828
1,1,q2*q5+*q5+*q4+,0.10661326
1,1,q2*q5+*q4+*q4+,1.02514659
1,1,q2*q4+*q4+*q4+,-0.546892159
1,1,q1*q1*q1*q1,10.8465389
1,1,q1*q1*q6+*q6-,-3.07106339
1,1,q1*q1*q6+*q5-,-0.231643789
1,1,q1*q1*q6+*q4-,0.24151665
1,1,q1*q1*q5+*q5-,-2.27242606
1,1,q1*q1*q5+*q4-,0.0438355579
1,1,q1*q1*q4+*q4-,6.77011094
1,1,q1*q6+*q6+*q6+,0.168304491
1,1,q1*q6+*q6+*q5+,-0.341677206
1,1,q1*q6+*q6+*q4+,1.30264223
1,1,q1*q6+*q5+*q5+,-0.178670056
1,1,q1*q6+*q5+*q4+,-1.6568847
1,1,q1*q6+*q4+*q4+,-0.18496364
1,1,q1*q5+*q5+*q5+,-0.439389543
1,1,q1*q5+*q5+*q4+,-1.12141042
1,1,q1*q5+*q4+*q4+,-0.60323016
1,1,q1*q4+*q4+*q4+,-4.78765694
1,1,q6+*q6+*q6-*q6-,0.799374213
1,1,q6+*q6+*q6-*q5-,-0.118136788
1,1,q6+*q6+*q6-*q4-,-0.256074844
1,1,q6+*q6+*q5-*q5-,0.0299502836
1,1,q6+*q6+*q5-*q4-,-0.138923387
1,1,q6+*q6+*q4-*q4-,-0.77460809
1,1,q6+*q6-*q5+*q5-,0.0786960664
1,1,q6+*q6-*q5+*q4-,0.0043986589
1,1,q6+*q6-*q4+*q4-,-1.72063765
1,1,q6+*q5+*q5-*q5-,0.10826277
1,1,q6+*q5+*q5-*q4-,0.00942292783
1,1,q6+*q5+*q4-*q4-,1.22842049
1,1,q6+*q5-*q5-*q4+,-0.0551274902
1,1,q6+*q5-*q4-*q4+,-0.208848922
1,1,q6+*q4+*q4-*q4-,-0.0912429741
1,1,q5+*q5+*q5-*q5-,-0.174883881
1,1,q5+*q5+*q5-*q4-,-0.13192401
1,1,q5+*q5+*q4-*q4-,1.11764752
1,1,q5+*q5-*q4+*q4-,-1.55651285
1,1,q5+*q4+*q4-*q4-,0.148878407
1,1,q4+*q4+*q4-*q4-,3.51639408
1,2,q3*q3*q3*q6-,-0.0273781072
1,2,q3*q3*q3*q5-,-0.538476102
1,2,q3*q3*q3*q4-,-0.208467768
1,2,q3*q3*q2*q6-,0.295137312
1,2,q3*q3*q2*q5-,-0.784539972
1,2,q3*q3*q2*q4-,-0.1574662734
1,2,q3*q3*q1*q6-,0.0944638348
1,2,q3*q3*q1*q5-,-0.1160576702
1,2,q3*q3*q1*q4-,-0.32921823
1,2,q3*q3*q6+*q6+,0.25946244
1,2,q3*q3*q6+*q5+,-0.1546390728
1,2,q3*q3*q6+*q4+,0.1029228892
